,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
244,Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance,the three musketeers,Milla Jovovich Logan Lerman Orlando Bloom Paul W.S. Anderson Action Adventure Romance
245,Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family,102 dalmatians,Ioan Gruffudd Eric Idle Jim Carter Kevin Lima Adventure Comedy Family
246,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family,open season,Jon Favreau Debra Messing Jane Krakowski Roger Allers Adventure Animation Comedy Family
247,Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,divergent,Kate Winslet Theo James Mekhi Phifer Neil Burger Adventure Mystery Sci-Fi
248,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,the rundown,Dwayne Johnson Rosario Dawson Ewen Bremner Peter Berg Action Adventure Comedy Thriller
249,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy,last action hero,F. Murray Abraham Tom Noonan Joan Plowright John McTiernan Action Adventure Comedy Fantasy
250,Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy,arthur christmas,Jim Broadbent Imelda Staunton Michael Palin Sarah Smith Adventure Animation Comedy Family Fantasy
251,Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy,mirror mirror,Julia Roberts Nathan Lane Danny Woodburn Tarsem Singh Adventure Comedy Drama Family Fantasy
252,Jon Amiel,Glenn Morshower,TchÃÂ©ky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,the core,Glenn Morshower TchÃÂ©ky Karyo Rekha Sharma Jon Amiel Action Adventure Sci-Fi Thriller
253,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. NÃÂºÃÂ±ez Jr.,Adventure Comedy Mystery,scooby-doo,Sarah Michelle Gellar Linda Cardellini Miguel A. NÃÂºÃÂ±ez Jr. Raja Gosnell Adventure Comedy Mystery
254,Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,jumper,Kristen Stewart Hayden Christensen Tom Hulce Doug Liman Action Adventure Sci-Fi Thriller
255,Guillermo del Toro,Seth MacFarlane,IvÃÂ¡n KamarÃÂ¡s,Brian Steele,Action Adventure Fantasy Horror Sci-Fi,hellboy ii: the golden army,Seth MacFarlane IvÃÂ¡n KamarÃÂ¡s Brian Steele Guillermo del Toro Action Adventure Fantasy Horror Sci-Fi
256,Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Action Adventure Thriller,the expendables,Jason Statham Sylvester Stallone Jet Li Sylvester Stallone Action Adventure Thriller
257,Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,Action Adventure Thriller,mission: impossible,Tom Cruise Kristin Scott Thomas Vanessa Redgrave Brian De Palma Action Adventure Thriller
258,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,Adventure Drama Sci-Fi Thriller,the hunger games,Jennifer Lawrence Josh Hutcherson Anthony Reynolds Gary Ross Adventure Drama Sci-Fi Thriller
259,Tim Johnson,Bruce Willis,Steve Carell,Catherine O'Hara,Adventure Animation Comedy Family,over the hedge,Bruce Willis Steve Carell Catherine O'Hara Tim Johnson Adventure Animation Comedy Family
260,Dean DeBlois,Tia Carrere,Jason Scott Lee,David Ogden Stiers,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,lilo & stitch,Tia Carrere Jason Scott Lee David Ogden Stiers Dean DeBlois Adventure Animation Comedy Drama Family Fantasy Sci-Fi
261,Mike Mitchell,Amy Poehler,Jesse McCartney,Lauren Gottlieb,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: chipwrecked,Amy Poehler Jesse McCartney Lauren Gottlieb Mike Mitchell Adventure Animation Comedy Family Fantasy Music
262,Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,Action Adventure Comedy,get smart,Bill Murray Dwayne Johnson Anne Hathaway Peter Segal Action Adventure Comedy
263,Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,Adventure Animation Comedy Family Sci-Fi,robots,Jim Broadbent Drew Carey Paula Abdul Chris Wedge Adventure Animation Comedy Family Sci-Fi
264,unknown,Elden Henson,Royce Johnson,Charlie Cox,Action Adventure Crime Drama Sci-Fi Thriller,daredevilÃÂ            ,Elden Henson Royce Johnson Charlie Cox unknown Action Adventure Crime Drama Sci-Fi Thriller
265,Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Adventure Drama History Romance War,cold mountain,Philip Seymour Hoffman Natalie Portman Charlie Hunnam Anthony Minghella Adventure Drama History Romance War
266,Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,Action Adventure Drama Thriller,the book of eli,Denzel Washington Mila Kunis Gary Oldman Albert Hughes Action Adventure Drama Thriller
267,Joe Pytka,Bill Murray,Wayne Knight,Michael Jordan,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,space jam,Bill Murray Wayne Knight Michael Jordan Joe Pytka Adventure Animation Comedy Family Fantasy Sci-Fi Sport
268,Shawn Levy,Roger Rees,Henry Czerny,William Abadie,Adventure Comedy Crime Family Mystery,the pink panther,Roger Rees Henry Czerny William Abadie Shawn Levy Adventure Comedy Crime Family Mystery
269,Ivan Reitman,Harrison Ford,Anne Heche,Amy Sedaris,Action Adventure Comedy Romance,six days seven nights,Harrison Ford Anne Heche Amy Sedaris Ivan Reitman Action Adventure Comedy Romance
270,Eric Brevig,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,Adventure Animation Comedy Family,yogi bear,Justin Timberlake Tom Cavanagh Josh Robert Thompson Eric Brevig Adventure Animation Comedy Family
271,Kelly Asbury,Matt Damon,Charles Napier,Zahn McClarnon,Adventure Animation Family Western,spirit: stallion of the cimarron,Matt Damon Charles Napier Zahn McClarnon Kelly Asbury Adventure Animation Family Western
272,Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,Action Adventure Family Sci-Fi Thriller,lost in space,Gary Oldman William Hurt June Lockhart Stephen Hopkins Action Adventure Family Sci-Fi Thriller
273,Simon Wells,Mark Addy,Alan Young,Josh Stamberg,Action Adventure Sci-Fi,the time machine,Mark Addy Alan Young Josh Stamberg Simon Wells Action Adventure Sci-Fi
274,Ron Underwood,Charlize Theron,Mika Boorem,David Paymer,Action Adventure Family Fantasy Thriller,mighty joe young,Charlize Theron Mika Boorem David Paymer Ron Underwood Action Adventure Family Fantasy Thriller
275,Martin Campbell,Michael Emerson,Nick Chinlund,Adrian Alonso,Action Adventure Western,the legend of zorro,Michael Emerson Nick Chinlund Adrian Alonso Martin Campbell Action Adventure Western
276,Terry Gilliam,Matt Damon,Heath Ledger,Mackenzie Crook,Action Adventure Comedy Fantasy Thriller,the brothers grimm,Matt Damon Heath Ledger Mackenzie Crook Terry Gilliam Action Adventure Comedy Fantasy Thriller
277,Lee Tamahori,Anthony Hopkins,Harold Perrineau,Bart the Bear,Action Adventure Drama Thriller,the edge,Anthony Hopkins Harold Perrineau Bart the Bear Lee Tamahori Action Adventure Drama Thriller
278,Rob Cohen,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,Action Adventure Drama Thriller,daylight,Sylvester Stallone Viggo Mortensen Amy Brenneman Rob Cohen Action Adventure Drama Thriller
279,Barry Cook,Charlie Rowe,Tiya Sircar,Madison Rothschild,Adventure Animation Family,walking with dinosaurs 3d,Charlie Rowe Tiya Sircar Madison Rothschild Barry Cook Adventure Animation Family
280,Roger Christian,Richard Tyson,Michael Byrne,John Topor,Action Adventure Sci-Fi,battlefield earth,Richard Tyson Michael Byrne John Topor Roger Christian Action Adventure Sci-Fi
281,Joe Dante,Brendan Fraser,Jenna Elfman,Heather Locklear,Adventure Animation Comedy Family Fantasy Sci-Fi,looney tunes: back in action,Brendan Fraser Jenna Elfman Heather Locklear Joe Dante Adventure Animation Comedy Family Fantasy Sci-Fi
282,Richard Donner,Paul Walker,Gerard Butler,Ethan Embry,Action Adventure Sci-Fi,timeline,Paul Walker Gerard Butler Ethan Embry Richard Donner Action Adventure Sci-Fi
283,Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Action Adventure Drama Sci-Fi,the postman,Olivia Williams Brian Anthony Wilson Larenz Tate Kevin Costner Action Adventure Drama Sci-Fi
284,George Miller,Adam Goldberg,Elizabeth Daily,Glenne Headly,Adventure Comedy Drama Family Fantasy,babe: pig in the city,Adam Goldberg Elizabeth Daily Glenne Headly George Miller Adventure Comedy Drama Family Fantasy
285,Breck Eisner,Vin Diesel,Joseph Gilgun,Lotte Verbeek,Action Adventure Fantasy,the last witch hunter,Vin Diesel Joseph Gilgun Lotte Verbeek Breck Eisner Action Adventure Fantasy
286,Luc Besson,Mia Farrow,Adam LeFevre,Penny Balfour,Adventure Animation Family Fantasy,arthur and the invisibles,Mia Farrow Adam LeFevre Penny Balfour Luc Besson Adventure Animation Family Fantasy
287,Peter Hyams,David Oyelowo,Catherine McCormack,Jemima Rooper,Action Adventure Horror Sci-Fi Thriller,a sound of thunder,David Oyelowo Catherine McCormack Jemima Rooper Peter Hyams Action Adventure Horror Sci-Fi Thriller
288,Paul W.S. Anderson,Sasha Roiz,Currie Graham,Dylan Schombing,Action Adventure Drama History Romance,pompeii,Sasha Roiz Currie Graham Dylan Schombing Paul W.S. Anderson Action Adventure Drama History Romance
289,Roger Allers,Matthew Broderick,Nathan Lane,Niketa Calame,Adventure Animation Drama Family Musical,the lion king,Matthew Broderick Nathan Lane Niketa Calame Roger Allers Adventure Animation Drama Family Musical
290,Brad Peyton,Josh Hutcherson,Dwayne Johnson,Kristin Davis,Action Adventure Comedy Family Fantasy Sci-Fi,journey 2: the mysterious island,Josh Hutcherson Dwayne Johnson Kristin Davis Brad Peyton Action Adventure Comedy Family Fantasy Sci-Fi
291,Joe Johnston,J.K. Simmons,Viggo Mortensen,Peter Mensah,Action Adventure Western,hidalgo,J.K. Simmons Viggo Mortensen Peter Mensah Joe Johnston Action Adventure Western
292,Mark Osborne,Jeff Bridges,James Franco,Mackenzie Foy,Adventure Animation Drama Family Fantasy,the little prince,Jeff Bridges James Franco Mackenzie Foy Mark Osborne Adventure Animation Drama Family Fantasy
293,Des McAnuff,Robert De Niro,Janeane Garofalo,Jonathan Winters,Adventure Animation Comedy Family Fantasy,the adventures of rocky & bullwinkle,Robert De Niro Janeane Garofalo Jonathan Winters Des McAnuff Adventure Animation Comedy Family Fantasy
294,Stephen Norrington,Jason Flemyng,Max Ryan,Tony Curran,Action Adventure Fantasy Sci-Fi,the league of extraordinary gentlemen,Jason Flemyng Max Ryan Tony Curran Stephen Norrington Action Adventure Fantasy Sci-Fi
295,Roland Emmerich,Will Smith,Adam Baldwin,Mary McDonnell,Action Adventure Sci-Fi,independence day,Will Smith Adam Baldwin Mary McDonnell Roland Emmerich Action Adventure Sci-Fi
296,Steven Spielberg,Ariana Richards,Richard Schiff,Vanessa Lee Chester,Action Adventure Sci-Fi,the lost world: jurassic park,Ariana Richards Richard Schiff Vanessa Lee Chester Steven Spielberg Action Adventure Sci-Fi
297,Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,Adventure Animation Comedy Family,madagascar,Jada Pinkett Smith Cedric the Entertainer Andy Richter Eric Darnell Adventure Animation Comedy Family
298,Bryan Singer,Hugh Jackman,Tyler Mane,Bruce Davison,Action Adventure Sci-Fi,x-men,Hugh Jackman Tyler Mane Bruce Davison Bryan Singer Action Adventure Sci-Fi
299,Michael Bay,Nicolas Cage,Michael Biehn,Bokeem Woodbine,Action Adventure Thriller,the rock,Nicolas Cage Michael Biehn Bokeem Woodbine Michael Bay Action Adventure Thriller
300,Carlos Saldanha,Denis Leary,Ray Romano,Jay Leno,Action Adventure Animation Comedy Family Fantasy,ice age: the meltdown,Denis Leary Ray Romano Jay Leno Carlos Saldanha Action Adventure Animation Comedy Family Fantasy
301,David Kellogg,Matthew Broderick,Rene Auberjonois,Rupert Everett,Action Adventure Comedy Family Sci-Fi,inspector gadget,Matthew Broderick Rene Auberjonois Rupert Everett David Kellogg Action Adventure Comedy Family Sci-Fi
302,Martin Campbell,Nicholas Lea,Scott Glenn,Ben Mendelsohn,Action Adventure Drama Thriller,vertical limit,Nicholas Lea Scott Glenn Ben Mendelsohn Martin Campbell Action Adventure Drama Thriller
303,Bibo Bergeron,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,Adventure Animation Comedy Family,shark tale,Robert De Niro Martin Scorsese Angelina Jolie Pitt Bibo Bergeron Adventure Animation Comedy Family
304,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,Action Adventure Comedy,the man from u.n.c.l.e.,Henry Cavill Elizabeth Debicki Christian Berkel Guy Ritchie Action Adventure Comedy
305,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,Action Adventure Romance Thriller,first knight,Julia Ormond Ben Cross John Gielgud Jerry Zucker Action Adventure Romance Thriller
306,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,Action Adventure Animation Family Sci-Fi,titan a.e.,Matt Damon Janeane Garofalo Nathan Lane Don Bluth Action Adventure Animation Family Sci-Fi
307,John Moore,Dennis Quaid,Tony Curran,Miranda Otto,Action Adventure Drama Thriller,flight of the phoenix,Dennis Quaid Tony Curran Miranda Otto John Moore Action Adventure Drama Thriller
308,Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,Action Adventure Comedy Romance Thriller,fool's gold,Matthew McConaughey Ray Winstone Alexis Dziena Andy Tennant Action Adventure Comedy Romance Thriller
309,David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy,the simpsons movie,Albert Brooks Yeardley Smith Marcia Wallace David Silverman Adventure Animation Comedy
310,Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family,two brothers,David Gant Jean-Claude Dreyfus Oanh Nguyen Jean-Jacques Annaud Adventure Drama Family
311,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance,shrek 2,Rupert Everett Jennifer Saunders Conrad Vernon Andrew Adamson Adventure Animation Comedy Family Fantasy Romance
312,John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport,cars,John Ratzenberger Cheech Marin George Carlin John Lasseter Adventure Animation Comedy Family Sport
313,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller,xxx,Vin Diesel Eve Leila Arcieri Rob Cohen Action Adventure Thriller
314,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy,the spongebob movie: sponge out of water,Tim Conway Billy West Eddie Deezen Paul Tibbitt Adventure Animation Comedy Family Fantasy
315,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War,inglourious basterds,Michael Fassbender Brad Pitt Christoph Waltz Quentin Tarantino Adventure Drama War
316,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,Adventure Comedy Family Fantasy,hook,Robin Williams Julia Roberts Bob Hoskins Steven Spielberg Adventure Comedy Family Fantasy
317,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid BolsÃÂ¸ Berdal,Action Adventure,hercules,Dwayne Johnson Rufus Sewell Ingrid BolsÃÂ¸ Berdal Brett Ratner Action Adventure
318,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller,s.w.a.t.,Jeremy Renner Josh Charles LL Cool J Clark Johnson Action Adventure Crime Thriller
319,unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller,sleepy hollowÃÂ            ,Nicole Beharie Katia Winter Lyndie Greenwood unknown Adventure Drama Fantasy Mystery Thriller
320,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller,star trek: insurrection,LeVar Burton Jonathan Frakes Michael Dorn Jonathan Frakes Action Adventure Sci-Fi Thriller
321,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy,big fish,Steve Buscemi Alison Lohman Albert Finney Tim Burton Adventure Drama Fantasy
322,James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller,the abyss,Michael Biehn Todd Graff Mary Elizabeth Mastrantonio James Cameron Adventure Drama Sci-Fi Thriller
323,Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance,stardust,Henry Cavill David Kelly Nathaniel Parker Matthew Vaughn Adventure Family Fantasy Romance
324,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibet,Brad Pitt Mako Victor Wong Jean-Jacques Annaud Adventure Biography Drama History War
325,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller,bad company,Anthony Hopkins Brooke Smith Garcelle Beauvais Joel Schumacher Action Adventure Comedy Thriller
326,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi,doom,Dwayne Johnson Ben Daniels Dexter Fletcher Andrzej Bartkowiak Action Adventure Horror Sci-Fi
327,Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller,i spy,Gary Cole Phill Lewis Tate Taylor Betty Thomas Action Adventure Comedy Thriller
328,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jones,Ron Howard Brandy Norwood David Hyde Pierce Bobby Farrelly Action Adventure Animation Comedy Crime Family Fantasy
329,Will Finn,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's return,Lea Michele Oliver Platt Jim Belushi Will Finn Adventure Animation Family Fantasy Musical
330,Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrow,Angelina Jolie Pitt Laurence Olivier Bai Ling Kerry Conran Action Adventure Mystery Sci-Fi Thriller
331,Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy,the legend of hercules,Roxanne McKee Luke Newberry Gaia Weiss Renny Harlin Action Adventure Fantasy
332,David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance,the twilight saga: eclipse,Robert Pattinson Kristen Stewart Anna Kendrick David Slade Adventure Drama Fantasy Romance
333,Alejandro AmenÃÂ¡bar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agora,Max Minghella Ashraf Barhom Rupert Evans Alejandro AmenÃÂ¡bar Adventure Drama History Romance
334,Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War,the last legion,Colin Firth Nonso Anozie Owen Teale Doug Lefler Action Adventure Fantasy War
335,Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family,ice age,Goran Visnjic Stephen Root Denis Leary Chris Wedge Adventure Animation Comedy Family
336,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History,apollo 13,Tom Hanks Miko Hughes Kathleen Quinlan Ron Howard Adventure Drama History
337,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorro,Anthony Hopkins Tony Amendola Stuart Wilson Martin Campbell Action Adventure Comedy Romance Thriller Western
338,Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboys,Clint Eastwood Courtney B. Vance William Devane Clint Eastwood Action Adventure Thriller
339,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhanger,Sylvester Stallone Leon Janine Turner Renny Harlin Action Adventure Thriller
340,David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinity,Ryan Reynolds Natasha Lyonne John Michael Higgins David S. Goyer Action Adventure Fantasy Horror Sci-Fi Thriller
341,Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventure,Kristen Stewart Josh Hutcherson Jonah Bobo Jon Favreau Action Adventure Comedy Family Fantasy Sci-Fi
342,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson hawk,Bruce Willis James Coburn Richard E. Grant Michael Lehmann Action Adventure Comedy
343,Baltasar KormÃÂ¡kur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest,Michael Kelly Martin Henderson Tom Goodman-Hill Baltasar KormÃÂ¡kur Adventure Biography Drama History Sport Thriller
344,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller,jurassic park,Wayne Knight Ariana Richards Bob Peck Steven Spielberg Adventure Sci-Fi Thriller
345,Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western,wyatt earp,Dennis Quaid Catherine O'Hara Isabella Rossellini Lawrence Kasdan Adventure Biography Crime Drama Western
346,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade,Si Won Choi Peng Lin Sung-jun Yoo Daniel Lee Action Adventure Drama History
347,Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop,Gary Cole Elizabeth Perkins Chelsea Handler Tim Hill Adventure Animation Comedy Family Fantasy
348,Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs,Jill Hennessy Tichina Arnold Drew Sidora Walt Becker Action Adventure Comedy
349,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little,Catherine O'Hara Fred Willard Amy Sedaris Mark Dindal Adventure Animation Comedy Family Sci-Fi
350,Martin Campbell,Izabella Scorupco,Joe Don Baker,TchÃÂ©ky Karyo,Action Adventure Thriller,goldeneye,Izabella Scorupco Joe Don Baker TchÃÂ©ky Karyo Martin Campbell Action Adventure Thriller
351,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman Adventure Animation Biography Drama Family Fantasy Musical
352,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell Adventure Animation Comedy Family
353,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman Adventure Comedy Family
354,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell Action Adventure Fantasy Thriller
355,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack,Estella Warren Dyan Cannon Bill Hunter David McNally Action Adventure Comedy Crime
356,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler Adventure Animation Comedy Family Fantasy
357,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones Action Adventure Crime Thriller
358,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,Emma Watson Matthew Broderick Frank Langella Sam Fell Adventure Animation Comedy Family Fantasy
359,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable Adventure Animation Comedy Family Fantasy
360,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,Morgan Freeman Will Ferrell Alison Brie Phil Lord Action Adventure Animation Comedy Family Fantasy
361,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman Action Adventure Fantasy Sci-Fi Thriller
362,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one,Olivia Wilde Oliver Platt Xander Berkeley Harold Ramis Adventure Comedy
363,Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51,Dwayne Johnson Gary Oldman James Corden Jorge Blanco Adventure Animation Comedy Family Sci-Fi
364,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird Action Adventure Sci-Fi Thriller
365,Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous,Philip Seymour Hoffman Zooey Deschanel Michael Angarano Cameron Crowe Adventure Comedy Drama Music
366,Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori Action Adventure Crime Thriller
367,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas,Brad Pitt Adriano Giannini Timothy West Patrick Gilmore Adventure Animation Comedy Drama Family Fantasy Romance
368,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
369,Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,James Franco Tyler Labine Philip Winchester Tony Bill Action Adventure Drama History Romance War
370,Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi,meet dave,Marc Blucas Mike O'Malley Shawn Christian Brian Robbins Adventure Comedy Family Romance Sci-Fi
371,Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy,inkheart,Brendan Fraser Stephen Graham Jamie Foreman Iain Softley Adventure Family Fantasy
372,Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale,Jason Statham Mike Dopud Tania Saulnier Uwe Boll Action Adventure Fantasy Thriller
373,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War,beyond borders,Angelina Jolie Pitt Teri Polo Noah Emmerich Martin Campbell Adventure Drama Romance War
374,Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing,Li Gong Aaron Kwok Eddie Peng Pou-Soi Cheang Action Adventure Fantasy
