movie_title,actor_name
stillwater,Matt Damon
the green knight,Dev Patel
nine days,Winston Duke
ride the eagle,Jake Johnson
the evening hour,Philip Ettinger
the suicide squad,Idris Elba
naked singularity,John Boyega
john and the hole,Charlie Shotwell
vivo,Lin-Manuel Miranda
playing god,Hannah Kasulka
swan song,Udo Kier
she ball,Nick Cannon
the kissing booth 3,Joey King
free guy,Ryan Reynolds
respect,Jennifer Hudson
beckett,John David Washington
don't breathe 2,Stephen Lang
coda,Emilia Jones
reminiscence,Hugh Jackman
the protÃ©gÃ©,Michael Keaton
sweet girl,Jason Momoa
the loud house movie,Asher Bishop
the night house,Rebecca Hall
flag day,Dylan Penn
cryptozoo,Lake Bell
habit,Josie Ho
demonic,Carly Pope
annette,Adam Driver
risen,Caroline McQuade
the witcher: nightmare of the wolf,Theo James
really love,Kofi Siriboe
candyman,Yahya Abdul-Mateen II
vacation friends,John Cena
he's all that,Addison Rae
no man of god,Elijah Wood
rushed,Siobhan Fallon Hogan
afterlife of the party,Victoria Justice
shang-chi and the legend of the ten rings,Simu Liu
cinderella,Camila Cabello
worth,Michael Keaton
the gateway,Shea Whigham
wild indian,Michael Greyeyes
we need to do something,Sierra McCormick
kate,Mary Elizabeth Winstead
everybody's talking about jamie,Max Harwood
malignant,Annabelle Wallis
queenpins,Kristen Bell
the card counter,Oscar Isaac
come from away,Petrina Bromley
the voyeurs,Sydney Sweeney
small engine repair,Jon Bernthal
language lessons,Desean Terry
show me the father,Sherman Smith
catch the bullet,Jay Pickett
bad candy,Zach Galligan
generation wrecks,Bridget McGarry
my son,James McAvoy
nightbooks,Winslow Fegley
the starling,Melissa McCarthy
the eyes of tammy faye,Jessica Chastain
cry macho,Clint Eastwood
copshop,Gerard Butler
blue bayou,Justin Chon
prisoners of the ghostland,Nicolas Cage
best sellers,Michael Caine
lady of the manor,Melanie Lynskey
the nowhere inn,Annie Clark
my name is pauli murray,Patrica Bell-Scott
the killing of kenneth chamberlain,Frankie Faison
intrusion,Freida Pinto
my little pony: a new generation,Vanessa Hudgens
dear evan hansen,Ben Platt
the guilty,Jake Gyllenhaal
birds of paradise,Kristine Froseth
after we fell,Josephine Langford
venom: let there be carnage,Tom Hardy
the many saints of newark,Alessandro Nivola
the addams family 2,Oscar Isaac
bingo hell,L. Scott Caldwell
black as night,Ashja Cooper
old henry,Tim Blake Nelson
the jesus music,Amy Grant
mayday,Grace Van Patten
god's not dead: we the people,David A. R. White
there's someone inside your house,Sydney Park
no time to die,Daniel Craig
mass,Reed Birney
south of heaven,Jason Sudeikis
the manor,Barbara Hershey
halloween kills,Jamie Lee Curtis
the last duel,Matt Damon
needle in a timestack,Leslie Odom Jr.
hard luck love song,Michael Dorman
night teeth,Jorge Lendeborg Jr.
dune,Timothee Chalamet
ron's gone wrong,Zach Galifianakis
the french dispatch,Owen Wilson
the harder they fall,Jonathan Majors
the electrical life of louis wain,Benedict Cumberbatch
warning,Alex Pettyfer
passing,Tessa Thompson
hypnotic,Kate Siegel
antlers,Keri Russell
army of thieves,Matthias Schweighöfer
a mouthful of air,Amanda Seyfried
the souvenir part ii,Honor Swinton Byrne
paranormal activity: next of kin,Emily Bader
the spine of night,Richard E. Grant
violet,Olivia Munn
heart of champions,Michael Shannon
eternals,Gemma Chan
red notice,Dwayne Johnson
spencer,Kristen Stewart
dangerous,Mel Gibson
love hard,Nina Dobrev
the beta test,Jim Cummings
clifford the big red dog,Jack Whitehall
"tick, tick... boom!",Andrew Garfield
home sweet home alone,Ellie Kemper
the power of the dog,Benedict Cumberbatch
bruised,Halle Berry
the princess switch 3: romancing the star,Vanessa Hudgens
ghostbusters: afterlife,Carrie Coon
king richard,Will Smith
extinct,Adam DeVine
c'mon c'mon,Joaquin Phoenix
black friday,Devon Sawa
friend of the world,Nick Young
encanto,Stephanie Beatriz
house of gucci,Lady Gaga
the unforgivable,Sandra Bullock
resident evil: welcome to raccoon city,Kaya Scodelario
8-bit christmas,Neil Patrick Harris
the humans,Richard Jenkins
south park: post covid,Matt Stone
licorice pizza,Alana Haim
single all the way,Michael Urie
back to the outback,Isla Fisher
diary of a wimpy kid,Brady Noon
encounter,Riz Ahmed
mixtape,Gemma Brooke Allen
deadlock,Patrick Muldoon
west side story,Ansel Elgort
don't look up,Leonardo DiCaprio
national champions,Stephan James
being the ricardos,Nicole Kidman
red rocket,Simon Rex
the hating game,Lucy Hale
rumble,Will Arnett
south park: post covid: the return of covid,Matt Stone
spider-man: no way home,Tom Holland
nightmare alley,Bradley Cooper
the lost daughter,Olivia Colman
swan song,Mahershala Ali
the tender bar,Ben Affleck
mother/android,Chloë Grace Moretz
fortress,Jesse Metcalfe
sing 2,Matthew McConaughey
the matrix resurrections,Keanu Reeves
the king's man,Ralph Fiennes
the tragedy of macbeth,Denzel Washington
a journal for jordan,Michael B. Jordan
american underdog,Zachary Levi
memoria,Tilda Swinton
the 355,Jessica Chastain
the legend of la llorona,Autumn Reeser
the commando,Mickey Rourke
american siege,Timothy V. Murphy
scream,Melissa Barrera
hotel transylvania: transformania,Andy Samberg
shattered,Cameron Monaghan
the royal treatment,Laura Marano
redeeming love,Abigail Cowen
the tiger rising,Christian Convery
hellblazers,Bruce Dern
the fallout,Jenna Ortega
home team,Kevin James
the ice age adventures of buck wild,Simon Pegg
clean,Adrien Brody
jackass forever,Johnny Knoxville
moonfall,Halle Berry
last looks,Charlie Hunnam
the long night,Scout Taylor-Compton
kimi,Zoë Kravitz
shut in,Rainey Qualley
death on the nile,Tom Bateman
marry me,Jennifer Lopez
blacklight,Liam Neeson
i want you back,Charlie Day
tall girl 2,Ava Michelle
the sky is everywhere,Grace Kaufman
the in between,Joey King
fistful of vengeance,Iko Uwais
uncharted,Tom Holland
dog,Channing Tatum
texas chainsaw massacre,Sarah Yarkin
the cursed,Boyd Holbrook
a fairy tale after all,Emily Shenaut
cyrano,Peter Dinklage
studio 666,Dave Grohl
a madea homecoming,Tyler Perry
no exit,Havana Rose Liu
i'll find you,Adelaide Clemens
gasoline alley,Devon Sawa
the batman,Robert Pattinson
after yang,Colin Farrell
fresh,Daisy Edgar-Jones
a day to die,Kevin Dillon
the hyperions,Cary Elwes
the adam project,Ryan Reynolds
turning red,Rosalie Chiang
tyson's run,Rory Cochrane
rescued by ruby,Grant Gustin
the outfit,Mark Rylance
deep water,Ben Affleck
cheaper by the dozen,Gabrielle Union
windfall,Lily Collins
x,Mia Goth
umma,Sandra Oh
alice,Keke Palmer
master,Regina Hall
measure of revenge,Peyfa (director); Melissa Leo
the lost city,Sandra Bullock
everything everywhere all at once,Michelle Yeoh
infinite storm,Naomi Watts
7 days,Karan Soni
moonshot,Cole Sprouse
morbius,Jared Leto
the bubble,Karen Gillan
the contractor,Chris Pine
better nate than ever,Aria Brooks
sonic the hedgehog 2,James Marsden
ambulance,Jake Gyllenhaal
all the old knives,Chris Pine
metal lords,Jaeden Martell
father stu,Mark Wahlberg
fantastic beasts: the secrets of dumbledore,Eddie Redmayne
dual,Karen Gillan
titanic 666,Jamie Bamber
the bad guys,Sam Rockwell
the northman,Alexander Skarsgård
the unbearable weight of massive talent,Nicolas Cage
polar bear,Alastair Fothergill
the survivor,Ben Foster
memory,Liam Neeson
crush,Rowan Blanchard
fortress: sniper's eye,Jesse Metcalfe
corrective measures,Bruce Willis
doctor strange in the multiverse of madness,Benedict Cumberbatch
along for the ride,Emma Pasarow
marmaduke,Pete Davidson
escape the field,Jordan Claire Robbins
operation mincemeat,Colin Firth
senior year,Rebel Wilson
firestarter,Zac Efron
sneakerella,Chosen Jacobs
on the count of three,Jerrod Carmichael
private property,Ashley Benson
family camp,Eddie James
montana story,Haley Lu Richardson
vendetta,Clive Standen
downton abbey: a new era,Hugh Bonneville
chip 'n dale: rescue rangers,John Mulaney
good mourning,Machine Gun Kelly
the valet,Eugenio Derbez
emergency,RJ Cyler
top gun: maverick,Tom Cruise
the bob's burgers movie,H. Jon Benjamin
zero contact,Anthony Hopkins
a chiara,Swamy Rotolo
south park the streaming wars,Trey Parker
hollywood stargirl,Grace VanderWaal
benediction,Jack Lowden
interceptor,Elsa Pataky
fire island,Joel Kim Booster
watcher,Maika Monroe
dashcam,Annie Hardy
white elephant,Michael Rooker
hustle,Adam Sandler
jurassic world dominion,Chris Pratt
jennifer lopez: halftime,Jennifer Lopez
father of the bride,Andy Garcia
lightyear,Chris Evans
spiderhead,Chris Hemsworth
jerry & marge go large,Bryan Cranston
cha cha real smooth,Dakota Johnson
mid-century,Stephen Lang
abandoned,Emma Roberts
beavis and butt-head do the universe,Mike Judge
elvis,Austin Butler
the black phone,Ethan Hawke
the man from toronto,Kevin Hart
the sea beast,Karl Urban
marcel the shell with shoes on,Jenny Slate
rise,Uche Agada
press play,Clara Rugaard
beauty,Gracie Marie Bradley
minions: the rise of gru,Steve Carell
the forgiven,Ralph Fiennes
mr. malcolm's list,Freida Pinto
the princess,Joey King
hot seat,Kevin Dillon
"hello, goodbye, and everything in between",Jordan Fisher
thor: love and thunder,Chris Hemsworth
south park the streaming wars part 2,Trey Parker
the gray man,Ryan Gosling
where the crawdads sing,Daisy Edgar-Jones
paws of fury: the legend of hank,Michael Cera
persuasion,Dakota Johnson
gone in the night,Winona Ryder
1up,Paris Berelc
wrong place,Ashley Greene
don't make me go,John Cho
he's watching,Iris Serena Estes
nope,Daniel Kaluuya
anything's possible,Eva Reign
alone together,Katie Holmes
dc league of super-pets,Dwayne Johnson
thirteen lives,Viggo Mortensen
vengeance,B. J. Novak
sharp stick,Kristine Froseth
not okay,Zoey Deutch
paradise highway,Juliette Binoche
resurrection,Rebecca Hall
a love song,Dale Dickey
honor society,Angourie Rice
allegoria,Krsy Fox
kung fu ghost,Jennifer N. Linch
bullet train,Brad Pitt
easter sunday,Jo Koy
rise of the teenage mutant ninja turtles: the movie,Ben Schwartz
luck,Eva Noblezada
prey,Amber Midthunder
bodies bodies bodies,Amandla Stenberg
they/them,Theo Germaine
secret headquarters,Owen Wilson
day shift,Jamie Foxx
mack & rita,Diane Keaton
fall,Grace Caroline Currey
emily the criminal,Aubrey Plaza
summering,Lia Barnett
look both ways,Lili Reinhart
beast,Idris Elba
orphan: first kill,Isabelle Fuhrman
spin me round,Alison Brie
delia's gone,Stephan James
three thousand years of longing,Idris Elba
samaritan,Sylvester Stallone
me time,Kevin Hart
the invitation,Nathalie Emmanuel
breaking,John Boyega
funny pages,Daniel Zolghadri
honk for jesus. save your soul.,Regina Hall
gigi & nate,Marcia Gay Harden
wire room,Kevin Dillon
one way,Machine Gun Kelly
after ever happy,Josephine Langford
pinocchio,Tom Hanks
barbarian,Georgina Campbell
end of the road,Queen Latifah
lifemark,Kirk Cameron
clerks iii,Brian O'Halloran
the woman king,Viola Davis
see how they run,Sam Rockwell
blonde,Ana de Armas
pearl,Mia Goth
do revenge,Camila Mendes
the silent twins,Letitia Wright
"confess, fletch",Jon Hamm
moonage daydream,David Bowie
god's country,Thandiwe Newton
goodnight mommy,Naomi Watts
running the bases,Brett Varvel
jeepers creepers: reborn,Sydney Craven
don't worry darling,Florence Pugh
catherine called birdy,Bella Ramsey
section eight,Ryan Kwanten
lou,Allison Janney
on the come up,Jamila C. Gray
a jazzman's blues,Joshua Boone
the munsters,Sheri Moon Zombie
smile,Sosie Bacon
bros,Billy Eichner
hocus pocus 2,Bette Midler
the greatest beer run ever,Zac Efron
the good house,Sigourney Weaver
luckiest girl alive,Mila Kunis
dead for a dollar,Christoph Waltz
my best friend's exorcism,Elsie Fisher
mr. harrigan's phone,Donald Sutherland
terrifier 2,Lauren LaVera
"lyle, lyle, crocodile",Javier Bardem
amsterdam,Christian Bale
tÃ¡r,Cate Blanchett
hellraiser,Odessa A'zion
significant other,Maika Monroe
grimcutty,Sara Wolfkind
halloween ends,Jamie Lee Curtis
till,Danielle Deadwyler
rosaline,Kaitlyn Dever
raymond & ray,Ewan McGregor
the curse of bridge hollow,Marlon Wayans
bitch ass,Tony Todd
the school for good and evil,Sophia Anne Caruso
the good nurse,Jessica Chastain
v/h/s/99,Maggie Levin
black adam,Dwayne Johnson
ticket to paradise,George Clooney
wendell & wild,Keegan-Michael Key
the banshees of inisherin,Colin Farrell
my policeman,Harry Styles
aftersun,Paul Mescal
detective knight: rogue,Bruce Willis
the return of tanya tucker: featuring brandi carlile,Kathlyn Horan (director)
armageddon time,Anne Hathaway
call jane,Elizabeth Banks
causeway,Jennifer Lawrence
prey for the devil,Jacqueline Byers
run sweetheart run,Ella Balinska
the wonder,Florence Pugh
the independent,Jodie Turner-Smith
enola holmes 2,Millie Bobby Brown
my father's dragon,Jacob Tremblay
weird: the al yankovic story,Daniel Radcliffe
the estate,Toni Collette
the minute you wake up dead,Cole Hauser
dear zoe,Sadie Sink
something in the dirt,Aaron Moorhead
aqua teen forever: plantasm,Dana Snyder
guillermo del toro's pinocchio,Ewan McGregor
falling for christmas,Lindsay Lohan
black panther: wakanda forever,Letitia Wright
the fabelmans,Michelle Williams
spirited,Will Ferrell
is that black enough for you?!?,Margaret Avery
paradise city,John Travolta
poker face,Russell Crowe
a christmas story christmas,Peter Billingsley
she said,Carey Mulligan
the menu,Ralph Fiennes
disenchanted,Amy Adams
slumberland,Jason Momoa
bones and all,Taylor Russell
the inspection,Jeremy Pope
scrooge: a christmas carol,Luke Evans
lamborghini: the man behind the legend,Frank Grillo
the people we hate at the wedding,Allison Janney
strange world,Jake Gyllenhaal
glass onion: a knives out mystery,Daniel Craig
devotion,Jonathan Majors
nanny,Anna Diop
the noel diary,Justin Hartley
white noise,Adam Driver
violent night,David Harbour
emancipation,Will Smith
spoiler alert,Jim Parsons
diary of a wimpy kid: rodrick rules,Hunter Dillon
darby and the dead,Riele Downs
lady chatterley's lover,Emma Corrin
the eternal daughter,Tilda Swinton
almighty zeus,Chris Soriano
roald dahl's matilda the musical,Alisha Weir
empire of light,Olivia Colman
night at the museum: kahmunrah rises again,Joshua Bassett
the whale,Brendan Fraser
something from tiffany's,Zoey Deutch
detective knight: redemption,Paul Johansson
the mean one,David Howard Thornton
avatar: the way of water,Sam Worthington
puss in boots: the last wish,Antonio Banderas
babylon,Brad Pitt
whitney houston: i wanna dance with somebody,Naomi Ackie
the pale blue eye,Christian Bale
women talking,Rooney Mara
a man called otto,Tom Hanks
"alice, darling",Anna Kendrick
m3gan,Allison Williams
the old way,Nicolas Cage
the devil conspiracy,Alice Orr-Ewing
plane,Gerard Butler
house party,Tosin Cole
sick,Gideon Adlon
the drop,Anna Konkle
dog gone,Rob Lowe
there's something wrong with the children,Alisha Wainwright
missing,Storm Reid
the son,Hugh Jackman
when you finish saving the world,Julianne Moore
detective knight: independence,Bruce Willis
kids vs. aliens,Dominic Mariche
teen wolf: the movie,Tyler Posey
you people,Jonah Hill
shotgun wedding,Jennifer Lopez
maybe i do,Diane Keaton
life upside down,Danny Huston
fear,Joseph Sikora
knock at the cabin,Dave Bautista
80 for brady,Lily Tomlin
the locksmith,Ryan Phillippe
baby ruby,Noémie Merlant
freedom's path,Gerran Howell
the wedding hustler,Chris Soriano
magic mike's last dance,Channing Tatum
sharper,Julianne Moore
your place or mine,Reese Witherspoon
somebody i used to know,Alison Brie
consecration,Jena Malone
the outwaters,Robbie Banfitch
ant-man and the wasp: quantumania,Paul Rudd
cocaine bear,Keri Russell
we have a ghost,David Harbour
luther: the fallen sun,Idris Elba
jesus revolution,Joel Courtney
bruiser,Trevante Rhodes
linoleum,Jim Gaffigan
god's time,Ben Groh
creed iii,Michael B. Jordan
operation fortune: ruse de guerre,Jason Statham
a little white lie,Michael Shannon
children of the corn,Elena Kampouris
palm trees and power lines,Lily McInerny
the year between,Alex Heller
unseen,Midori Francis
craving,Rachel Amanda Bryant
scream vi,Melissa Barrera
65,Adam Driver
champions,Woody Harrelson
chang can dunk,Bloom Li
southern gospel,Max Ehrich
shazam! fury of the gods,Zachary Levi
boston strangler,Keira Knightley
the magician's elephant,Noah Jupe
moving on,Jane Fonda
wildflower,Kiernan Shipka
supercell,Skeet Ulrich
pinball: the man who saved the game,Mike Faist
john wick: chapter 4,Keanu Reeves
a good person,Florence Pugh
the tutor,Garrett Hedlund
last sentinel,Kate Bosworth
adalynn,Sydney Carvill
dungeons & dragons: honor among thieves,Chris Pine
murder mystery 2,Adam Sandler
tetris,Taron Egerton
spinning gold,Jeremy Jordan
space oddity,Kyle Allen
a thousand and one,Teyana Taylor
assassin,Nomzamo Mbatha
acidman,Thomas Haden Church
malum,Jessica Sula
miracle at manchester,Eddie McClintock
the super mario bros. movie,Chris Pratt
air,Matt Damon
praise this,Chloe Bailey
showing up,Michelle Williams
paint,Owen Wilson
on a wing and a prayer,Dennis Quaid
chupa,Demián Bichir
how to blow up a pipeline,Ariela Barer
one true loves,Phillipa Soo
beautiful disaster,Dylan Sprouse
renfield,Nicholas Hoult
beau is afraid,Joaquin Phoenix
the pope's exorcist,Russell Crowe
mafia mamma,Toni Collette
sweetwater,Everett Osborne
nefarious,Sean Patrick Flanery
rare objects,Julie Mayorga
quasi,Jay Chandrasekhar
evil dead rise,Lily Sullivan
guy ritchie's the covenant,Jake Gyllenhaal
ghosted,Chris Evans
chevalier,Kelvin Harrison Jr.
somewhere in queens,Ray Romano
carmen,Melissa Barrera
a tourist's guide to love,Rachael Leigh Cook
the artifice girl,Lance Henriksen
peter pan & wendy,Jude Law
"are you there god? it's me, margaret.",Rachel McAdams
big george foreman,Khris Davis
sisu,Jorma Tommila
clock,Dianna Agron
guardians of the galaxy vol. 3,Chris Pratt
love again,Priyanka Chopra
one ranger,Thomas Jane
book club: the next chapter,Diane Keaton
the mother,Jennifer Lopez
fool's paradise,Charlie Day
hypnotic,Ben Affleck
crater,Isaiah Russell-Bailey
knights of the zodiac,Mackenyu
mercy,Jonathan Rhys Meyers
monica,Trace Lysette
the starling girl,Eliza Scanlen
rally road racers,Jimmy O. Yang
fast x,Vin Diesel
white men can't jump,Sinqua Walls
master gardener,Joel Edgerton
sanctuary,Margaret Qualley
robots,Shailene Woodley
moon garden,Augie Duke
the little mermaid,Halle Bailey
about my father,Sebastian Maniscalco
kandahar,Gerard Butler
the machine,Bert Kreischer
you hurt my feelings,Julia Louis-Dreyfus
the wrath of becky,Lulu Wilson
reality,Sydney Sweeney
spider-man: across the spider-verse,Shameik Moore
the boogeyman,Sophie Thatcher
past lives,Greta Lee
shooting stars,Mookie Cook
transformers: rise of the beasts,Anthony Ramos
flamin' hot,Jesse Garcia
dalÃ­land,Ben Kingsley
jagged mind,Maisie Richardson-Sellers
the flash,Ezra Miller
elemental,Leah Lewis
asteroid city,Jason Schwartzman
extraction 2,Chris Hemsworth
the blackening,Grace Byers
surrounded,Letitia Wright
no hard feelings,Jennifer Lawrence
the perfect find,Gabrielle Union
world's best,Utkarsh Ambudkar
god is a bullet,Nikolaj Coster-Waldau
wonderwell,Carrie Fisher
indiana jones and the dial of destiny,Harrison Ford
"ruby gillman, teenage kraken",Lana Condor
nimona,Chloë Grace Moretz
confidential informant,Mel Gibson
prisoner's daughter,Kate Beckinsale
the unseen,R.J. Mitte
sound of freedom,Jim Caviezel
insidious: the red door,Ty Simpkins
joy ride,Ashley Park
the out-laws,Adam DeVine
earth mama,Tia Nomore
biosphere,Sterling K. Brown
cocaine shark,Samantha Coolidge
mission: impossible â dead reckoning part one,Tom Cruise
they cloned tyrone,John Boyega
theater camp,Noah Galvin
barbie,Margot Robbie
oppenheimer,Cillian Murphy
cobweb,Lizzy Caplan
the beanie bubble,Zach Galifianakis
the venture bros.: radiant is the blood of the baboon heart,James Urbaniak
zoey 102,Jamie Lynn Spears
haunted mansion,LaKeith Stanfield
sympathy for the devil,Nicolas Cage
circus maximus,Lizzielou Corfixen
happiness for beginners,Ellie Kemper
war pony,Jojo Bapteise Whiting
the unknown country,Lily Gladstone
blue hour: the disappearance of nick brandreth,Morgan DeTogne
teenage mutant ninja turtles: mutant mayhem,Micah Abbey
mike & fred vs the dead,Felissa Rose
meg 2: the trench,Jason Statham
shortcomings,Justin H. Min
dreamin' wild,Casey Affleck
corner office,Jon Hamm
what comes around,Summer Phoenix
the passenger,Johnny Berchtold
the last voyage of the demeter,Corey Hawkins
heart of stone,Gal Gadot
"red, white & royal blue",Taylor Zakhar Perez
jules,Ben Kingsley
inside man,Emile Hirsch
blue beetle,Xolo Maridueña
strays,Will Ferrell
the monkey king,Jimmy O. Yang
landscape with invisible hand,Asante Blackk
birth/rebirth,Marin Ireland
back on the strip,Wesley Snipes
the adults,Michael Cera
gran turismo,David Harbour
retribution,Liam Neeson
vacation friends 2,John Cena
you are so not invited to my bat mitzvah,Sunny Sandler
bottoms,Rachel Sennott
golda,Helen Mirren
the hill,Colin Ford
the equalizer 3,Denzel Washington
the good mother,Hilary Swank
all fun and games,Natalia Dyer
yoshiki: under the sky,Yoshiki
the nun ii,Taissa Farmiga
my big fat greek wedding 3,Nia Vardalos
sitting in bars with cake,Yara Shahidi
aristotle and dante discover the secrets of the universe,Max Pelayo
after everything,Josephine Langford
a haunting in venice,Kenneth Branagh
dumb money,Paul Dano
love at first sight,Haley Lu Richardson
a million miles away,Michael Peña
the retirement plan,Nicolas Cage
outlaw johnny black,Michael Jai White
camp hideout,Ethan Drew
the inventor,Stephen Fry
expend4bles,Jason Statham
spy kids: armageddon,Gina Rodriguez
reptile,Benicio del Toro
cassandro,Gael García Bernal
flora and son,Eve Hewson
no one will save you,Kaitlyn Dever
it lives inside,Megan Suri
everybody dies by the end,Vinny Curran
the kill room,Uma Thurman
the creator,John David Washington
saw x,Tobin Bell
fair play,Phoebe Dynevor
heist 88,Courtney B. Vance
the re-education of molly singer,Britt Robertson
deliver us,Lee Roy Kunz
oracle,Ryan Destiny
appendage,Hadley Robinson
the exorcist: believer,Leslie Odom Jr.
pet sematary: bloodlines,Jackson White
totally killer,Kiernan Shipka
v/h/s/85,Alex Gallick
the caine mutiny court-martial,Kiefer Sutherland
dicks: the musical,Megan Mullally
foe,Saoirse Ronan
she came to me,Peter Dinklage
the burial,Jamie Foxx
desperation road,Garrett Hedlund
miranda's victim,Abigail Breslin
cat person,Emilia Jones
the mill,Lil Rel Howery
down low,Zachary Quinto
dark harvest,Casey Likes
taylor swift: the eras tour,Taylor Swift
dear david,Augustus Prew
divinity,Stephen Dorff
in the fire,Amber Heard
killers of the flower moon,Leonardo DiCaprio
pain hustlers,Emily Blunt
nyad,Annette Bening
old dads,Bill Burr
butcher's crossing,Nicolas Cage
the other zoey,Josephine Langford
sick girl,Nina Dobrev
the persian version,Layla Mohammadi
five nights at freddy's,Josh Hutcherson
under the boardwalk,Keke Palmer
freelance,John Cena
the holdovers,Paul Giamatti
the killer,Michael Fassbender
fingernails,Jessie Buckley
sight,Terry Chen
priscilla,Cailee Spaeny
suitable flesh,Heather Graham
hell house llc origins: the carmichael manor,Bridget Rose Perrotta
what happened at 625 river road,Francheska Pujols
quiz lady,Awkwafina
rustin,Colman Domingo
the marsh king's daughter,Daisy Ridley
what happens later,Meg Ryan
all dirt roads taste of salt,Charleen McClure
helen's dead,Annabelle Dexter-Jones
at the gates,Miranda Otto
rumble through the dark,Aaron Eckhart
the marvels,Brie Larson
dream scenario,Nicolas Cage
journey to bethlehem,Fiona Palomo
your lucky day,Angus Cloud
it's a wonderful knife,Joel McHale
manodrome,Jesse Eisenberg
the master chief: part one,Chris Soriano
best. christmas. ever!,Brandy Norwood
the hunger games: the ballad of songbirds & snakes,Tom Blyth
trolls band together,Anna Kendrick
thanksgiving,Patrick Dempsey
next goal wins,Michael Fassbender
saltburn,Barry Keoghan
may december,Natalie Portman
dashing through the snow,Lil Rel Howery
please don't destroy: the treasure of foggy mountain,Ben Marshall
leo,Adam Sandler
wish,Ariana DeBose
napoleon,Joaquin Phoenix
maestro,Carey Mulligan
leave the world behind,Julia Roberts
good burger 2,Kenan Thompson
genie,Melissa McCarthy
family switch,Jennifer Garner
renaissance: a film by beyoncé,Beyoncé
silent night,Joel Kinnaman
candy cane lane,Eddie Murphy
eileen,Thomasin McKenzie
the shift,Kristoffer Polaha
holiday twist,Kelly Stables
abigail,Ava Cantrell
waitress: the musical,Sara Bareilles
poor things,Emma Stone
origin,Aunjanue Ellis-Taylor
diary of a wimpy kid christmas: cabin fever,Wesley Kimmel
our son,Luke Evans
the cello,Jeremy Irons
the oath,Darin Scott
craig before the creek,Philip Solomon
wonka,Timothée Chalamet
chicken run: dawn of the nugget,Thandiwe Newton
rebel moon,Sofia Boutella
american fiction,Jeffrey Wright
the family plan,Mark Wahlberg
finestkind,Ben Foster
the zone of interest,Christian Friedel
city of love,Robert DeCesare
aquaman and the lost kingdom,Jason Momoa
migration,Kumail Nanjiani
anyone but you,Sydney Sweeney
the iron claw,Zac Efron
freud's last session,Anthony Hopkins
memory,Jessica Chastain
the color purple,Fantasia Barrino
the boys in the boat,Callum Turner
ferrari,Adam Driver
good grief,Dan Levy
fifty shades of grey,Dakota Johnson
deadpool & wolverine,Ryan Reynolds
madame web,Dakota Johnson
mirzapur,Ali Fazal
the mummy murders,Leila Annastasia Scott
self reliance,Jake Johnson
darkgame,Ed Westwick
night swim,Wyatt Russell
he went that way,Jacob Elordi
the painter,Charlie Weber
the bricklayer,Aaron Eckhart
some other woman,Amanda Crew
fugitive dreams,April Matthis
husband for sale,Ayman Mansour
the beekeeper,Jason Statham
mean girls,Angourie Rice
the book of clarence,LaKeith Stanfield
lift,Kevin Hart
role play,Kaley Cuoco
the night they came home,Charlie Townsend
destroy all neighbors,Jonah Ray
hellhound,Louis Mandylor
wanted man,Dolph Lundgren
i.s.s.,Ariana DeBose
sunrise,Alex Pettyfer
which brings me to you,Lucy Hale
cult killer,Alice Eve
founders day,Devin Druid
murder and cocktails,Jason Bernardo
beautiful wedding,Dylan Sprouse
miller's girl,Martin Freeman
the underdoggs,Snoop Dogg
sometimes i think about dying,Daisy Ridley
american star,Ian McShane
cold copy,Bel Powley
junction,Bryan Greenberg
hundreds of beavers,Ryland Brickson Cole
there is a monster,Joey Collins
argylle,Bryce Dallas Howard
orion and the dark,Jacob Tremblay
the tiger's apprentice,Henry Golding
suncoast,Laura Linney
scrambled,Leah McKendrick
bosco,Aubrey Joseph
somewhere quiet,Jennifer Kim
the monk and the gun,Harry Einhorn
a nashville wish,Maxfield Camp
lisa frankenstein,Kathryn Newton
upgraded,Camila Mendes
air force one down,Katherine McNamara
lola,Nicola Peltz (director/screenplay)
marmalade,Joe Keery
elementory,Shaun Paul Costello
bob marley: one love,Kingsley Ben-Adir
players,Gina Rodriguez
what about love,Sharon Stone
stranger in the woods,Holly Kenney
this is me... now: a love story,Jennifer Lopez
land of bad,Liam Hemsworth
bleeding love,Clara McGregor
lights out,Frank Grillo
no way up,Colm Meany
altered reality,Tobin Bell
"lovely, dark, and deep",Georgina Campbell
drive-away dolls,Margaret Qualley
ordinary angels,Hilary Swank
mea culpa,Kelly Rowland
drugstore june,Esther Povitsky
parallel,Danielle Deadwyler
red right hand,Orlando Bloom
blue christmas,Rob Merritt
the neon highway,Rob Mayes
dune: part two,Timothée Chalamet
spaceman,Adam Sandler
problemista,Julio Torres
megamind vs. the doom syndicate,Keith Ferguson
outlaw posse,Mario Van Peebles
asleep in my palm,Tim Blake Nelson
ricky stanicky,Zac Efron
the thundermans return,Kira Kosarin
kung fu panda 4,Jack Black
imaginary,DeWanda Wise
damsel,Millie Bobby Brown
love lies bleeding,Kristen Stewart
cabrini,Cristiana Dell'Anna
accidental texan,Thomas Haden Church
american dreamer,Peter Dinklage
night shift,Phoebe Tonkin
glitter & doom,Alex Diaz
the primevals,Richard Joseph Paul
little wing,Brian Cox
arthur the king,Mark Wahlberg
the american society of magical negroes,Justice Smith
shirley,Regina King
irish wish,Lindsay Lohan
one life,Anthony Hopkins
knox goes away,Michael Keaton
snack shack,Conor Sherry
