director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones Action Adventure Crime Thriller
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,Ivana Milicevic Joe Morton Callum Rennie John Woo Action Mystery Sci-Fi Thriller
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan Action Comedy Sci-Fi
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy Action Thriller
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh Action Drama Thriller
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi Action Crime Drama Thriller
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet Action Horror Sci-Fi
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua Action Crime Drama Mystery Thriller
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,Morgan Freeman Will Ferrell Alison Brie Phil Lord Action Adventure Animation Comedy Family Fantasy
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous,Eileen Brennan Diedrich Bader Treat Williams John Pasquin Action Comedy Crime
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman Action Adventure Fantasy Sci-Fi Thriller
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad,Ryan Gosling Brandon Molale Wade Williams Ruben Fleischer Action Crime Drama Thriller
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel,Blair Brown David Rasche Martin Donovan Clark Johnson Action Crime Thriller
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird Action Adventure Sci-Fi Thriller
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,Robert De Niro Al Pacino 50 Cent Jon Avnet Action Crime Drama Mystery Thriller
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori Action Adventure Crime Thriller
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest,Josh Wingate Alan Dale Jacob Hopkins Scott Stewart Action Fantasy Horror Sci-Fi Thriller
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,James Franco Tyler Labine Philip Winchester Tony Bill Action Adventure Drama History Romance War
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller,the last castle,Clifton Collins Jr. Delroy Lindo Michael Irby Rod Lurie Action Drama Thriller
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller,the spirit,Scarlett Johansson Jaime King Louis Lombardi Frank Miller Action Crime Fantasy Thriller
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai,Johnny Depp Olivia Munn Ulrich Thomsen David Koepp Action Comedy Mystery Romance
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale,Jason Statham Mike Dopud Tania Saulnier Uwe Boll Action Adventure Fantasy Thriller
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing,Li Gong Aaron Kwok Eddie Peng Pou-Soi Cheang Action Adventure Fantasy
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War,the great raid,James Franco Clayne Crawford Paolo Montalban John Dahl Action Drama War
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi,deadpool,Ryan Reynolds Ed Skrein Stefan Kapicic Tim Miller Action Adventure Comedy Romance Sci-Fi
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper,Bradley Cooper Leonard Roberts Keir O'Donnell Clint Eastwood Action Biography Drama History Thriller War
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,rambo iii,Sylvester Stallone Kurtwood Smith Richard Crenna Peter MacDonald Action Adventure Thriller War
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,resident evil: afterlife,Milla Jovovich Boris Kodjoe Shawn Roberts Paul W.S. Anderson Action Adventure Horror Sci-Fi
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails,David Oyelowo Nate Parker Tristan Mack Wilds Anthony Hemingway Action Adventure Drama History War
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,dragonheart,Dennis Quaid Brian Thompson Terry O'Neill Rob Cohen Action Adventure Fantasy
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,after the sunset,Salma Hayek Don Cheadle Chris Penn Brett Ratner Action Comedy Crime Drama
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,ghost rider: spirit of vengeance,Nicolas Cage Spencer Wilding Christopher Lambert Mark Neveldine Action Fantasy Thriller
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,the pacifier,Vin Diesel Brad Garrett Tate Donovan Adam Shankman Action Comedy Drama Family Thriller
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall,Dwayne Johnson Ashley Scott Michael Bowen Kevin Bray Action Crime
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,superman,Marlon Brando Margot Kidder Ned Beatty Richard Donner Action Adventure Drama Romance Sci-Fi
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,george of the jungle,Brendan Fraser Abraham Benrubi Holland Taylor Sam Weisman Action Adventure Comedy Family Romance
Antoine Fuqua,Denzel Washington,ChloÃÂ« Grace Moretz,James Wilcox,Action Crime Thriller,the equalizer,Denzel Washington ChloÃÂ« Grace Moretz James Wilcox Antoine Fuqua Action Crime Thriller
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,crimson tide,Denzel Washington Viggo Mortensen Ricky Schroder Tony Scott Action Drama Thriller War
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,David Carradine Vivica A. Fox Chiaki Kuriyama Quentin Tarantino Action
unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,stargate sg-1ÃÂ            ,Christopher Judge Don S. Davis Gary Jones unknown Action Adventure Drama Sci-Fi
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,kill bill: vol. 2,Vivica A. Fox Michael Parks Michael Bowen Quentin Tarantino Action Crime Drama Thriller
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,tango & cash,Sylvester Stallone Jack Palance Brion James Andrey Konchalovskiy Action Comedy Crime Thriller
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,shanghai noon,Xander Berkeley Jason Connery Kate Luyben Tom Dey Action Adventure Comedy Western
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,executive decision,Oliver Platt Joe Morton J.T. Walsh Stuart Baird Action Adventure Thriller
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,the forbidden kingdom,Jet Li Thomas McDonell Michael Angarano Rob Minkoff Action Adventure Fantasy
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,alien 3,Charles S. Dutton Holt McCallany Paul McGann David Fincher Action Horror Sci-Fi
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,ronin,Robert De Niro Natascha McElhone Michael Lonsdale John Frankenheimer Action Adventure Crime Thriller
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,the hunted,Connie Nielsen Jenna Boyd Rex Linn William Friedkin Action Crime Drama Thriller
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,chain reaction,Keanu Reeves Morgan Freeman Kevin Dunn Andrew Davis Action Drama Sci-Fi Thriller
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,the fan,Robert De Niro Kurt Fuller Ellen Barkin Tony Scott Action Drama Sport Thriller
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,ÃÂ¦on flux,Charlize Theron Sophie Okonedo Paterson Joseph Karyn Kusama Action Sci-Fi
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,turbulence,Hector Elizondo Lauren Holly Jeffrey DeMunn Robert Butler Action Thriller
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,thunderbirds,Sophia Myles Philip Winchester Brady Corbet Jonathan Frakes Action Adventure Comedy Family Sci-Fi
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,blade ii,Norman Reedus Thomas Kretschmann Tony Curran Guillermo del Toro Action Horror Sci-Fi Thriller
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action Thriller,bullet to the head,Sylvester Stallone Jason Momoa Jon Seda Walter Hill Action Thriller
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action Adventure Romance Sci-Fi,superman ii,Margot Kidder Ned Beatty Jackie Cooper Richard Lester Action Adventure Romance Sci-Fi
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,Action Crime Thriller,shaft,Christian Bale Vanessa Williams Daniel von Bargen John Singleton Action Crime Thriller
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,ZoÃÂ« Bell,Action Horror Thriller,grindhouse,Quentin Tarantino Rosario Dawson ZoÃÂ« Bell Robert Rodriguez Action Horror Thriller
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action Adventure Comedy,the dukes of hazzard,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar Action Adventure Comedy
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action Thriller,from paris with love,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel Action Thriller
Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action Comedy Fantasy,bulletproof monk,Jaime King Mako Victoria Smurfit Paul Hunter Action Comedy Fantasy
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,Action Adventure Drama Romance,robin hood: prince of thieves,Alan Rickman Morgan Freeman Michael Wincott Kevin Reynolds Action Adventure Drama Romance
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,Action Comedy Crime,22 jump street,Channing Tatum Craig Roberts Amber Stevens West Phil Lord Action Comedy Crime
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,Action Comedy Crime,central intelligence,Dwayne Johnson Thomas Kretschmann Megan Park Rawson Marshall Thurber Action Comedy Crime
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,Action Crime Drama Thriller,payback,Bill Duke Deborah Kara Unger William Devane Brian Helgeland Action Crime Drama Thriller
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action Adventure Mystery Sci-Fi,congo,Dylan Walsh Joe Don Baker Grant Heslov Frank Marshall Action Adventure Mystery Sci-Fi
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,Action Drama Thriller,outbreak,Kevin Spacey Morgan Freeman Rene Russo Wolfgang Petersen Action Drama Thriller
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action Mystery Thriller,non-stop,Liam Neeson Nate Parker Scoot McNairy Jaume Collet-Serra Action Mystery Thriller
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action Adventure Family Fantasy Sci-Fi Thriller,race to witch mountain,Dwayne Johnson Billy Brown Tom Everett Scott Andy Fickman Action Adventure Family Fantasy Sci-Fi Thriller
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action Drama Thriller,v for vendetta,Natalie Portman Eddie Marsan Rupert Graves James McTeigue Action Drama Thriller
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action Adventure Comedy,shanghai knights,Fann Wong Anna-Louise Plowman Georgina Chapman David Dobkin Action Adventure Comedy
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid BolsÃÂ¸ Berdal,Action Fantasy Horror,hansel & gretel: witch hunters,Jeremy Renner Derek Mears Ingrid BolsÃÂ¸ Berdal Tommy Wirkola Action Fantasy Horror
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action Adventure Sci-Fi Thriller,i am number four,Alex Pettyfer Emily Wickersham Reuben Langdon D.J. Caruso Action Adventure Sci-Fi Thriller
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action Drama Thriller War,13 hours,Toby Stephens James Badge Dale David Costabile Michael Bay Action Drama Thriller War
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,Action Crime Drama Thriller,absolute power,Clint Eastwood Mark Margolis Scott Glenn Clint Eastwood Action Crime Drama Thriller
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,Action Drama War,g.i. jane,Viggo Mortensen Demi Moore John Michael Higgins Ridley Scott Action Drama War
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action Crime Drama Mystery Thriller,the negotiator,Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan F. Gary Gray Action Crime Drama Mystery Thriller
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action Thriller,into the storm,Matt Walsh Alycia Debnam-Carey Scott Lawrence Steven Quale Action Thriller
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action Comedy Crime Thriller,beverly hills cop iii,Louis Lombardi Jon Tenney Gilbert R. Hill John Landis Action Comedy Crime Thriller
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action Thriller,the peacemaker,Armin Mueller-Stahl Holt McCallany Marcel Iures Mimi Leder Action Thriller
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,resident evil: apocalypse,Milla Jovovich Thomas Kretschmann Mike Epps Alexander Witt Action Horror Sci-Fi Thriller
Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,Action Adventure Thriller,on deadly ground,Mike Starr Joan Chen Sven-Ole Thorsen Steven Seagal Action Adventure Thriller
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action Adventure Family Fantasy,the adventures of sharkboy and lavagirl 3-d,Taylor Lautner Kristin Davis Taylor Dooley Robert Rodriguez Action Adventure Family Fantasy
James McTeigue,ShÃÂ´ Kosugi,Ben Miles,Rain,Action Crime Thriller,ninja assassin,ShÃÂ´ Kosugi Ben Miles Rain James McTeigue Action Crime Thriller
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action Crime Thriller,assassins,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,basic,Connie Nielsen Harry Connick Jr. Tim Daly John McTiernan Action Crime Drama Mystery Thriller
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,blood work,Clint Eastwood Anjelica Huston Rick Hoffman Clint Eastwood Action Crime Drama Mystery Thriller
Tom Tykwer,Naomi Watts,BrÃÂ­an F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,the international,Naomi Watts BrÃÂ­an F. O'Byrne Armin Mueller-Stahl Tom Tykwer Action Crime Drama Mystery Thriller
John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,Action Adventure Sci-Fi Thriller,escape from l.a.,Steve Buscemi Valeria Golino Michelle Forbes John Carpenter Action Adventure Sci-Fi Thriller
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Action Adventure Animation Comedy Drama Family Sci-Fi,the iron giant,Vin Diesel Harry Connick Jr. M. Emmet Walsh Brad Bird Action Adventure Animation Comedy Drama Family Sci-Fi
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action Biography Drama History War,free state of jones,Matthew McConaughey Donald Watkins Jessica Collins Gary Ross Action Biography Drama History War
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action Comedy,man of the house,Christina Milian Vanessa Ferlito Kelli Garner Stephen Herek Action Comedy
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,Action Crime Drama Thriller,run all night,Liam Neeson Common Bruce McGill Jaume Collet-Serra Action Crime Drama Thriller
John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,into the blue,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller
unknown,Julie Benz,Tony Curran,Grant Bowler,Action Drama Sci-Fi,defianceÃÂ            ,Julie Benz Tony Curran Grant Bowler unknown Action Drama Sci-Fi
Tony Scott,Ian Ziering,Mo'Nique,Edgar RamÃÂ­rez,Action Biography Crime Drama Thriller,domino,Ian Ziering Mo'Nique Edgar RamÃÂ­rez Tony Scott Action Biography Crime Drama Thriller
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,gamer,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,drive angry,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,the one,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,indiana jones and the last crusade,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,three kings,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,dick tracy,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Sci-Fi Thriller
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,miss congeniality,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,patriot games,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,blade,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,anaconda,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,the specialist,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,the river wild,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy
David Lynch,Virginia Madsen,JÃÂ¼rgen Prochnow,JosÃÂ© Ferrer,Action Adventure Sci-Fi,dune,Virginia Madsen JÃÂ¼rgen Prochnow JosÃÂ© Ferrer David Lynch Action Adventure Sci-Fi
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,the glimmer man,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi
Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,the phantom,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy
Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi,deep rising,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action Adventure Horror Sci-Fi
Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Action Crime Drama Thriller War,miracle at st. anna,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action Crime Drama Thriller War
Danny Pang,Nicolas Cage,Charlie Yeung,James With,Action Crime Thriller,bangkok dangerous,Nicolas Cage Charlie Yeung James With Danny Pang Action Crime Thriller
George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller,shadow conspiracy,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime,johnny english reborn,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy,foodfight!,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance,the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War,rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller,unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
Simon West,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller,the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime,21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
Paul Feig,Michael Rapaport,William Xifaras,DemiÃÂ¡n Bichir,Action Comedy Crime,the heat,Michael Rapaport William Xifaras DemiÃÂ¡n Bichir Paul Feig Action Comedy Crime
